No,표준ID,ARS-ID,정류장명,X좌표,Y좌표,비고,지번주소,도로명주소
7750,117900130,18856,난곡중학교,126.910806669,37.4770514681,,서울특별시 금천구 독산동 906-47,서울특별시 금천구 문성로 61
7751,117900193,18857,산기슭공원,126.9066062685,37.4638162536,,서울특별시 금천구 시흥동 산 139-2,서울특별시 금천구 독산로58가길 46
7752,117900129,18858,하안주공1317동,126.8882725165,37.4576070259,,서울특별시 금천구 독산동 1088-5,서울특별시 금천구 한내로 69-15
7753,117900128,18859,금천현대아파트,126.8915232495,37.4616767565,,서울특별시 금천구 독산동 산 168-2,서울특별시 금천구 벚꽃로 73
7754,117900127,18860,롯데캐슬1차서문.해가든아파트,126.8922978284,37.4599253406,,서울특별시 금천구 독산동 463-2,서울특별시 금천구 벚꽃로 40
7755,117900126,18861,금빛공원,126.9050252924,37.4526556633,,서울특별시 금천구 시흥동 893-1,서울특별시 금천구 금하로 674
7756,117900125,18863,시흥사거리.대명시장,126.9018203929,37.4547643438,,서울특별시 금천구 시흥동 1000-52,서울특별시 금천구 금하로 637
7757,117900161,18864,시흥동은행나무,126.909262913,37.4506837601,,서울특별시 금천구 시흥동 912,서울특별시 금천구 금하로 716
7758,117900124,18865,시흥2동주민센터.동일여고,126.9140086615,37.4499249691,,서울특별시 금천구 시흥동 266-2703,서울특별시 금천구 금하로 760
7759,117900123,18866,두산어린이공원,126.8941391855,37.4736278101,,서울특별시 금천구 가산동 153-17,서울특별시 금천구 가산로5길 14
7760,117900122,18867,금천구종합청사.금천구청역,126.8954899439,37.456374558,,서울특별시 금천구 시흥동 1020,서울특별시 금천구 시흥대로73길 70
7761,117900154,18868,두산어린이공원,126.8941642153,37.4735169965,,서울특별시 금천구 독산동 297-19,서울특별시 금천구 가산로5길 7
7762,117900209,18869,롯데캐슬3차,126.8962925927,37.4599718531,,서울특별시 금천구 독산동 1155,서울특별시 금천구 벚꽃로 40
7763,117900211,18871,롯데캐슬1차정문.해가든아파트,126.894248153,37.4608040223,,서울특별시 금천구 독산동 1152-2,서울특별시 금천구 벚꽃로 40
7764,117900210,18872,롯데캐슬1차동문,126.8961900723,37.4595095451,,서울특별시 금천구 독산동 1147,서울특별시 금천구 벚꽃로 40
7765,117900208,18873,롯데캐슬1차정문.해가든아파트,126.8940923871,37.4610024925,,서울특별시 금천구 독산동 467-1,서울특별시 금천구 벚꽃로6길 3
7766,117900174,18959,백운한비치.금광포란재아파트,126.9116042566,37.4511757381,,서울특별시 금천구 시흥동 703-11,서울특별시 금천구 탑골로2길 24
7767,117900173,18960,시흥5동주민센터,126.9087037456,37.4513528541,,서울특별시 금천구 시흥동 828-39,서울특별시 금천구 금하로23길 4
7768,117900172,18961,삼성산자연공원.삼성체육공원,126.9094952807,37.4548245367,,서울특별시 금천구 시흥동 산 116-9,서울특별시 금천구 금하로23길 80
7769,117900171,18962,시흥아파트앞,126.9081188294,37.4564310534,,서울특별시 금천구 시흥동 817-67,서울특별시 금천구 독산로28길 38
7770,117900170,18963,신흥초등학교,126.9081966538,37.4593443985,,서울특별시 금천구 시흥동 704-44,서울특별시 금천구 독산로32나길 48
7771,117900169,18964,한빛무궁화아파트,126.9079251069,37.4604705729,,서울특별시 금천구 시흥동 1016,서울특별시 금천구 독산로36길 62
7772,117900168,18965,한울중학교앞,126.9071955966,37.462615541,,서울특별시 금천구 시흥동 1000-159,서울특별시 금천구 독산로50길 60
7773,117900178,18967,금천폭포공원,126.9037052975,37.447211891,,서울특별시 금천구 시흥동 937-1,서울특별시 금천구 시흥대로38길 81
7774,117900177,18968,영일빌라,126.9064018284,37.4473501248,,서울특별시 금천구 시흥동 438-194,서울특별시 금천구 시흥대로40길 46
7775,117900176,18969,시흥계곡앞,126.9103494029,37.4466449121,,서울특별시 금천구 시흥동 산 77-1,서울특별시 금천구 금하로24다길 50
7776,117900175,18970,시흥5동성당,126.9115228397,37.4483281695,,서울특별시 금천구 시흥동 산 83-65,서울특별시 금천구 시흥대로40길 177
7777,117900192,18972,한울중학교앞,126.9076719216,37.4622861085,,서울특별시 금천구 시흥동 792-1,서울특별시 금천구 독산로50길 66
7778,117900191,18973,한빛무궁화아파트,126.9079487098,37.4605814276,,서울특별시 금천구 시흥동 1000-161,서울특별시 금천구 독산로36길 61
7779,117900190,18974,신흥초등학교,126.9081006139,37.4593082796,,서울특별시 금천구 시흥동 1000-161,서울특별시 금천구 독산로32나길 48
7780,117900194,18975,시흥아파트앞,126.9078868775,37.4566174024,,서울특별시 금천구 시흥동 816-30,서울특별시 금천구 독산로28길 37
7781,117900196,18976,삼성체육공원.삼성산자연공원,126.9092908701,37.454675697,,서울특별시 금천구 시흥동 171-3,서울특별시 금천구 금하로23길 76
