,일반시설일련번호,기준년도,시설종류,시설명,전체집행연장,전체집행면적,미집행연장,위치정보,좌표정보(X),좌표정보(Y)
206,1184265,2015,경관녹지,흑석2경관녹지,0,37,0,흑석동 269번지 일대,37.50605284,126.9687361
207,1184266,2015,경관녹지,사당동경관녹지,0,0,0,사당동 169-15,37.4859911,126.9726511
208,1184267,2015,경관녹지,녹지,0,0,0,흑석동18-1일대,37.50802274,126.9688405
209,1184269,2015,경관녹지,녹지,0,537,0,흑석동 산43-2,36.26095822,127.3569292
210,1184270,2015,경관녹지,녹지,0,3474,0,흑석동 산88-14,37.50575637,126.9675835
211,1184271,2015,경관녹지,녹지,0,600,0,흑석동264외1필지,37.50617327,126.9679443
212,1184272,2015,공공공지,공공공지,0,598,0,노량진205,37.5123231,126.9459524
213,1184273,2015,공공공지,공공공지,0,108,0,노량진310-54,37.5060044,126.93822
215,1184275,2015,공공공지,공공공지,0,317,0,동작동65-2,37.49164762,126.978249
216,1184276,2015,공공공지,공공공지,0,102,0,동작동 산89-1,37.4896119,126.9383033
218,1184278,2015,공공공지,공공공지,0,1450,0,사당동220-6,37.486509,126.9700604
220,1184280,2015,공공공지,공공공지,0,140,0,상도동27-44,37.50506527,126.9435408
221,1184281,2015,공공공지,공공공지,0,236,0,상도동217-3,37.4964036,126.9409217
222,1184282,2015,공공공지,공공공지,0,437,0,사당동149-4,37.48438694,126.9798085
223,1184283,2015,공공공지,공공공지,0,686,0,사당동324-20,37.48387855,126.9757663
224,1184284,2015,공공공지,공공공지,0,3402,0,상도4동244-183일대,37.49978486,126.9354957
225,1184285,2015,공공공지,공공공지,0,923,0,상도동159-442일대,37.501027,126.9410397
226,1184286,2015,공공공지,공공공지,0,17,0,상도동159-1일대,37.50164342,126.9462405
227,1184287,2015,공공공지,공공공지,0,31,0,상도동159-120일대,37.50171871,126.947355
228,1184288,2015,공공공지,공공공지,0,385,0,상도동169-86,37.5034639,126.9414906
229,1184289,2015,공공공지,공공공지,0,146,0,상도동156-54,37.5032478,126.9424165
230,1184290,2015,공공공지,공공공지,0,121,0,상도동156-3,37.5039171,126.9418959
231,1184293,2015,공공공지,공공공지,0,96,0,흑석동198-52,37.50900048,126.9564834
232,1184294,2015,공공공지,공공공지,0,189,0,흑석동225-44,37.50757936,126.9615255
233,1184295,2015,공공공지,공공공지,0,527,0,흑석동86-81,37.50662732,126.9616754
234,1184296,2015,공공공지,공공공지,0,373,0,흑석동97-2,37.50733796,126.9623125
235,1184297,2015,공공공지,공공공지,0,114,0,흑석동97-2,37.50733796,126.9623125
236,1184298,2015,공공공지,공공공지,0,491,0,흑석동339-3,37.50075781,126.9592558
237,1184299,2015,공공공지,공공공지,0,4245,0,흑석동257,37.50017231,126.9602608
238,1184300,2015,공공공지,공공공지,0,812,0,상도3동296-6일대,37.49669356,126.9322164
239,1184301,2015,공공공지,공공공지,0,86,0,상도동36-1일대,37.5052719,126.9459914
240,1184302,2015,공공공지,공공공지,0,136,0,신대방동341-57일대,37.4950339,126.9254108
241,1184303,2015,공공공지,공공공지,0,94,0,신대방동698번지,37.48557939,126.9044762
242,1184304,2015,공공공지,공공공지,0,0,0,노량진동329-12,37.50744261,126.9477525
243,1184305,2015,공공공지,공공공지,0,968,0,노량진동315-72일대,37.5054803,126.9370511
244,1184306,2015,공공공지,공공공지,0,373,0,흑석동97-38일대,37.50694773,126.9625683
245,1184307,2015,공공공지,공공공지,0,0,0,노량진동 294-432일대,37.5074205,126.9359534
246,1184308,2015,공공공지,공공공지,0,222,0,사당동181-366,37.49215272,126.9630146
247,1127031,2015,배수시설,수도공급설비,27904,27904,0,노량진동12일대,37.5150226,126.9422066
248,1127032,2015,배수시설,수도공급설비,2500,3869,0,사당동 산32-2,37.4841342,126.9633128
249,1127033,2015,배수시설,수도공급설비,60000,25042,0,대방동305-2일대,37.5107672,126.9289536
251,1230317,2015,송전선로,송전선로,4468,1,0,양재동산67-1 ~ 사당변전소,37.47638935,127.0259802
252,1233913,2015,노외주차장,대추벌,0,0,0,흑석동 605-16,36.26458493,127.3346233
253,1233916,2015,노외주차장,등골,0,0,0,흑석동 62,36.26795465,127.3525051
254,1233921,2015,노외주차장,사진개,0,0,0,흑석동 192-1,37.5079445,126.9592706
255,1233988,2015,노외주차장,노외주차장,0,617,0,흑석동966,36.25418356,127.3412302
258,1127789,2015,공공공지,공공공지,0,2713,0,흑석동 523-10,37.14586378,128.2455352
259,1126977,2015,초등학교,새별초교,0,12049,0,광산구 흑석동 521(수완지구),35.1827792,126.8124994
260,1234168,2015,배수시설,배수지,1,1850,0,흑석동산72,36.2553625,127.3447489
261,1233275,2015,어린이공원,두레박,0,1498,0,서구 흑석동 842,36.25509109,127.3397638
262,1233286,2015,어린이공원,금평,0,1580,0,서구 흑석동 983,36.25395085,127.3415559
263,1233162,2015,경관녹지,흑석동 898외2필지,0,0,0,서구 흑석동 898외2필지,36.2562116,127.34243
264,1244063,2015,소하천,등골소하천,1200,0,0,흑석동102~흑석동487-3,36.26983247,127.3517655
265,1244064,2015,소하천,사진개소하천,760,0,0,흑석동178-1~흑석동437-4,37.1456317,128.241524
266,1135357,2015,노외주차장,흑석동 주차장,0,0,0,흑석동 158-15 일원,35.18111496,126.8065482
267,1127576,2015,근린공원,하남3지구공원,0,0,0,광산구 흑석동 313-5,35.18330604,126.8024024
268,1127577,2015,근린공원,근린공원,0,0,0,광산구 흑석동 산48,35.18324459,126.8081936
269,1135163,2015,노외주차장,주차장,0,594,0,흑석동 543(수완지구),36.27359243,127.3385184
270,1135164,2015,노외주차장,주차장,0,0,0,흑석동 553(수완지구),36.27168487,127.3378226
271,1135165,2015,노외주차장,주차장,0,0,0,흑석동 593(수완지구),35.18056777,126.8109039
272,1127628,2015,어린이공원,해님,0,1606,0,흑석동 520,37.1347553,128.2444819
273,1127629,2015,어린이공원,장자울,0,1568,0,흑석동 573,36.26840312,127.3382949
274,1234072,2015,중학교,기성,0,22501,0,흑석동295,37.5039496,126.9683158
275,1234134,2015,자치단체청사,우체분국,0,364,0,흑석동843,36.25490698,127.3400168
276,1234135,2015,자치단체청사,파출소 소방파출소,0,633,0,흑석동956,36.25513355,127.3429475
277,1234141,2015,자치단체청사,동사무소,0,2203,0,흑석동892,36.25580814,127.3416099
278,1248146,2015,지방하천,갈월천,3490,129130,2410,"대방리 649-4, 정산리224-1",35.4026993,126.9522231
279,1127860,2015,초등학교,학교24,0,11907,0,흑석동 436,37.13414119,128.2448239
